:START_ID(GridCell),:END_ID(GridCell),distance_m:float
ghsl_5929_cell_00000,ghsl_5929_cell_00001,1000.0
ghsl_5929_cell_00000,ghsl_5929_cell_00003,1000.0
ghsl_5929_cell_00000,ghsl_5929_cell_00004,1414.2
ghsl_5929_cell_00001,ghsl_5929_cell_00000,1000.0
ghsl_5929_cell_00001,ghsl_5929_cell_00003,1414.2
ghsl_5929_cell_00001,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00001,ghsl_5929_cell_00005,1414.2
ghsl_5929_cell_00002,ghsl_5929_cell_00006,1414.2
ghsl_5929_cell_00002,ghsl_5929_cell_00007,1000.0
ghsl_5929_cell_00002,ghsl_5929_cell_00008,1414.2
ghsl_5929_cell_00003,ghsl_5929_cell_00000,1000.0
ghsl_5929_cell_00003,ghsl_5929_cell_00001,1414.2
ghsl_5929_cell_00003,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00003,ghsl_5929_cell_00009,1414.2
ghsl_5929_cell_00004,ghsl_5929_cell_00000,1414.2
ghsl_5929_cell_00004,ghsl_5929_cell_00001,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00003,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00005,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00009,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00010,1414.2
ghsl_5929_cell_00005,ghsl_5929_cell_00001,1414.2
ghsl_5929_cell_00005,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00005,ghsl_5929_cell_00006,1000.0
ghsl_5929_cell_00005,ghsl_5929_cell_00009,1414.2
ghsl_5929_cell_00005,ghsl_5929_cell_00010,1000.0
ghsl_5929_cell_00005,ghsl_5929_cell_00011,1414.2
ghsl_5929_cell_00006,ghsl_5929_cell_00002,1414.2
ghsl_5929_cell_00006,ghsl_5929_cell_00005,1000.0
ghsl_5929_cell_00006,ghsl_5929_cell_00007,1000.0
ghsl_5929_cell_00006,ghsl_5929_cell_00010,1414.2
ghsl_5929_cell_00006,ghsl_5929_cell_00011,1000.0
ghsl_5929_cell_00006,ghsl_5929_cell_00012,1414.2
ghsl_5929_cell_00007,ghsl_5929_cell_00002,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00006,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00008,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00011,1414.2
ghsl_5929_cell_00007,ghsl_5929_cell_00012,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00013,1414.2
ghsl_5929_cell_00008,ghsl_5929_cell_00002,1414.2
ghsl_5929_cell_00008,ghsl_5929_cell_00007,1000.0
ghsl_5929_cell_00008,ghsl_5929_cell_00012,1414.2
ghsl_5929_cell_00008,ghsl_5929_cell_00013,1000.0
ghsl_5929_cell_00009,ghsl_5929_cell_00003,1414.2
ghsl_5929_cell_00009,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00009,ghsl_5929_cell_00005,1414.2
ghsl_5929_cell_00009,ghsl_5929_cell_00010,1000.0
ghsl_5929_cell_00009,ghsl_5929_cell_00014,1414.2
ghsl_5929_cell_00010,ghsl_5929_cell_00004,1414.2
ghsl_5929_cell_00010,ghsl_5929_cell_00005,1000.0
ghsl_5929_cell_00010,ghsl_5929_cell_00006,1414.2
ghsl_5929_cell_00010,ghsl_5929_cell_00009,1000.0
ghsl_5929_cell_00010,ghsl_5929_cell_00011,1000.0
ghsl_5929_cell_00010,ghsl_5929_cell_00014,1000.0
ghsl_5929_cell_00010,ghsl_5929_cell_00015,1414.2
ghsl_5929_cell_00011,ghsl_5929_cell_00005,1414.2
ghsl_5929_cell_00011,ghsl_5929_cell_00006,1000.0
ghsl_5929_cell_00011,ghsl_5929_cell_00007,1414.2
ghsl_5929_cell_00011,ghsl_5929_cell_00010,1000.0
ghsl_5929_cell_00011,ghsl_5929_cell_00012,1000.0
ghsl_5929_cell_00011,ghsl_5929_cell_00014,1414.2
ghsl_5929_cell_00011,ghsl_5929_cell_00015,1000.0
ghsl_5929_cell_00011,ghsl_5929_cell_00016,1414.2
ghsl_5929_cell_00012,ghsl_5929_cell_00006,1414.2
ghsl_5929_cell_00012,ghsl_5929_cell_00007,1000.0
ghsl_5929_cell_00012,ghsl_5929_cell_00008,1414.2
ghsl_5929_cell_00012,ghsl_5929_cell_00011,1000.0
ghsl_5929_cell_00012,ghsl_5929_cell_00013,1000.0
ghsl_5929_cell_00012,ghsl_5929_cell_00015,1414.2
ghsl_5929_cell_00012,ghsl_5929_cell_00016,1000.0
ghsl_5929_cell_00012,ghsl_5929_cell_00017,1414.2
ghsl_5929_cell_00013,ghsl_5929_cell_00007,1414.2
ghsl_5929_cell_00013,ghsl_5929_cell_00008,1000.0
ghsl_5929_cell_00013,ghsl_5929_cell_00012,1000.0
ghsl_5929_cell_00013,ghsl_5929_cell_00016,1414.2
ghsl_5929_cell_00013,ghsl_5929_cell_00017,1000.0
ghsl_5929_cell_00013,ghsl_5929_cell_00018,1414.2
ghsl_5929_cell_00014,ghsl_5929_cell_00009,1414.2
ghsl_5929_cell_00014,ghsl_5929_cell_00010,1000.0
ghsl_5929_cell_00014,ghsl_5929_cell_00011,1414.2
ghsl_5929_cell_00014,ghsl_5929_cell_00015,1000.0
ghsl_5929_cell_00014,ghsl_5929_cell_00019,1414.2
ghsl_5929_cell_00015,ghsl_5929_cell_00010,1414.2
ghsl_5929_cell_00015,ghsl_5929_cell_00011,1000.0
ghsl_5929_cell_00015,ghsl_5929_cell_00012,1414.2
ghsl_5929_cell_00015,ghsl_5929_cell_00014,1000.0
ghsl_5929_cell_00015,ghsl_5929_cell_00016,1000.0
ghsl_5929_cell_00015,ghsl_5929_cell_00019,1000.0
ghsl_5929_cell_00015,ghsl_5929_cell_00020,1414.2
ghsl_5929_cell_00016,ghsl_5929_cell_00011,1414.2
ghsl_5929_cell_00016,ghsl_5929_cell_00012,1000.0
ghsl_5929_cell_00016,ghsl_5929_cell_00013,1414.2
ghsl_5929_cell_00016,ghsl_5929_cell_00015,1000.0
ghsl_5929_cell_00016,ghsl_5929_cell_00017,1000.0
ghsl_5929_cell_00016,ghsl_5929_cell_00019,1414.2
ghsl_5929_cell_00016,ghsl_5929_cell_00020,1000.0
ghsl_5929_cell_00016,ghsl_5929_cell_00021,1414.2
ghsl_5929_cell_00017,ghsl_5929_cell_00012,1414.2
ghsl_5929_cell_00017,ghsl_5929_cell_00013,1000.0
ghsl_5929_cell_00017,ghsl_5929_cell_00016,1000.0
ghsl_5929_cell_00017,ghsl_5929_cell_00018,1000.0
ghsl_5929_cell_00017,ghsl_5929_cell_00020,1414.2
ghsl_5929_cell_00017,ghsl_5929_cell_00021,1000.0
ghsl_5929_cell_00017,ghsl_5929_cell_00022,1414.2
ghsl_5929_cell_00018,ghsl_5929_cell_00013,1414.2
ghsl_5929_cell_00018,ghsl_5929_cell_00017,1000.0
ghsl_5929_cell_00018,ghsl_5929_cell_00021,1414.2
ghsl_5929_cell_00018,ghsl_5929_cell_00022,1000.0
ghsl_5929_cell_00018,ghsl_5929_cell_00023,1414.2
ghsl_5929_cell_00019,ghsl_5929_cell_00014,1414.2
ghsl_5929_cell_00019,ghsl_5929_cell_00015,1000.0
ghsl_5929_cell_00019,ghsl_5929_cell_00016,1414.2
ghsl_5929_cell_00019,ghsl_5929_cell_00020,1000.0
ghsl_5929_cell_00019,ghsl_5929_cell_00025,1414.2
ghsl_5929_cell_00020,ghsl_5929_cell_00015,1414.2
ghsl_5929_cell_00020,ghsl_5929_cell_00016,1000.0
ghsl_5929_cell_00020,ghsl_5929_cell_00017,1414.2
ghsl_5929_cell_00020,ghsl_5929_cell_00019,1000.0
ghsl_5929_cell_00020,ghsl_5929_cell_00021,1000.0
ghsl_5929_cell_00020,ghsl_5929_cell_00025,1000.0
ghsl_5929_cell_00020,ghsl_5929_cell_00026,1414.2
ghsl_5929_cell_00021,ghsl_5929_cell_00016,1414.2
ghsl_5929_cell_00021,ghsl_5929_cell_00017,1000.0
ghsl_5929_cell_00021,ghsl_5929_cell_00018,1414.2
ghsl_5929_cell_00021,ghsl_5929_cell_00020,1000.0
ghsl_5929_cell_00021,ghsl_5929_cell_00022,1000.0
ghsl_5929_cell_00021,ghsl_5929_cell_00025,1414.2
ghsl_5929_cell_00021,ghsl_5929_cell_00026,1000.0
ghsl_5929_cell_00021,ghsl_5929_cell_00027,1414.2
ghsl_5929_cell_00022,ghsl_5929_cell_00017,1414.2
ghsl_5929_cell_00022,ghsl_5929_cell_00018,1000.0
ghsl_5929_cell_00022,ghsl_5929_cell_00021,1000.0
ghsl_5929_cell_00022,ghsl_5929_cell_00023,1000.0
ghsl_5929_cell_00022,ghsl_5929_cell_00026,1414.2
ghsl_5929_cell_00022,ghsl_5929_cell_00027,1000.0
ghsl_5929_cell_00023,ghsl_5929_cell_00018,1414.2
ghsl_5929_cell_00023,ghsl_5929_cell_00022,1000.0
ghsl_5929_cell_00023,ghsl_5929_cell_00027,1414.2
ghsl_5929_cell_00024,ghsl_5929_cell_00028,1000.0
ghsl_5929_cell_00024,ghsl_5929_cell_00029,1414.2
ghsl_5929_cell_00025,ghsl_5929_cell_00019,1414.2
ghsl_5929_cell_00025,ghsl_5929_cell_00020,1000.0
ghsl_5929_cell_00025,ghsl_5929_cell_00021,1414.2
ghsl_5929_cell_00025,ghsl_5929_cell_00026,1000.0
ghsl_5929_cell_00025,ghsl_5929_cell_00030,1414.2
ghsl_5929_cell_00026,ghsl_5929_cell_00020,1414.2
ghsl_5929_cell_00026,ghsl_5929_cell_00021,1000.0
ghsl_5929_cell_00026,ghsl_5929_cell_00022,1414.2
ghsl_5929_cell_00026,ghsl_5929_cell_00025,1000.0
ghsl_5929_cell_00026,ghsl_5929_cell_00027,1000.0
ghsl_5929_cell_00026,ghsl_5929_cell_00030,1000.0
ghsl_5929_cell_00026,ghsl_5929_cell_00031,1414.2
ghsl_5929_cell_00027,ghsl_5929_cell_00021,1414.2
ghsl_5929_cell_00027,ghsl_5929_cell_00022,1000.0
ghsl_5929_cell_00027,ghsl_5929_cell_00023,1414.2
ghsl_5929_cell_00027,ghsl_5929_cell_00026,1000.0
ghsl_5929_cell_00027,ghsl_5929_cell_00030,1414.2
ghsl_5929_cell_00027,ghsl_5929_cell_00031,1000.0
ghsl_5929_cell_00028,ghsl_5929_cell_00024,1000.0
ghsl_5929_cell_00028,ghsl_5929_cell_00029,1000.0
ghsl_5929_cell_00028,ghsl_5929_cell_00032,1414.2
ghsl_5929_cell_00028,ghsl_5929_cell_00033,1000.0
ghsl_5929_cell_00028,ghsl_5929_cell_00034,1414.2
ghsl_5929_cell_00029,ghsl_5929_cell_00024,1414.2
ghsl_5929_cell_00029,ghsl_5929_cell_00028,1000.0
ghsl_5929_cell_00029,ghsl_5929_cell_00033,1414.2
ghsl_5929_cell_00029,ghsl_5929_cell_00034,1000.0
ghsl_5929_cell_00029,ghsl_5929_cell_00035,1414.2
ghsl_5929_cell_00030,ghsl_5929_cell_00025,1414.2
ghsl_5929_cell_00030,ghsl_5929_cell_00026,1000.0
ghsl_5929_cell_00030,ghsl_5929_cell_00027,1414.2
ghsl_5929_cell_00030,ghsl_5929_cell_00031,1000.0
ghsl_5929_cell_00030,ghsl_5929_cell_00037,1000.0
ghsl_5929_cell_00030,ghsl_5929_cell_00038,1414.2
ghsl_5929_cell_00031,ghsl_5929_cell_00026,1414.2
ghsl_5929_cell_00031,ghsl_5929_cell_00027,1000.0
ghsl_5929_cell_00031,ghsl_5929_cell_00030,1000.0
ghsl_5929_cell_00031,ghsl_5929_cell_00037,1414.2
ghsl_5929_cell_00031,ghsl_5929_cell_00038,1000.0
ghsl_5929_cell_00032,ghsl_5929_cell_00028,1414.2
ghsl_5929_cell_00032,ghsl_5929_cell_00033,1000.0
ghsl_5929_cell_00032,ghsl_5929_cell_00039,1414.2
ghsl_5929_cell_00032,ghsl_5929_cell_00040,1000.0
ghsl_5929_cell_00032,ghsl_5929_cell_00041,1414.2
ghsl_5929_cell_00033,ghsl_5929_cell_00028,1000.0
ghsl_5929_cell_00033,ghsl_5929_cell_00029,1414.2
ghsl_5929_cell_00033,ghsl_5929_cell_00032,1000.0
ghsl_5929_cell_00033,ghsl_5929_cell_00034,1000.0
ghsl_5929_cell_00033,ghsl_5929_cell_00040,1414.2
ghsl_5929_cell_00033,ghsl_5929_cell_00041,1000.0
ghsl_5929_cell_00033,ghsl_5929_cell_00042,1414.2
ghsl_5929_cell_00034,ghsl_5929_cell_00028,1414.2
ghsl_5929_cell_00034,ghsl_5929_cell_00029,1000.0
ghsl_5929_cell_00034,ghsl_5929_cell_00033,1000.0
ghsl_5929_cell_00034,ghsl_5929_cell_00035,1000.0
ghsl_5929_cell_00034,ghsl_5929_cell_00041,1414.2
ghsl_5929_cell_00034,ghsl_5929_cell_00042,1000.0
ghsl_5929_cell_00034,ghsl_5929_cell_00043,1414.2
ghsl_5929_cell_00035,ghsl_5929_cell_00029,1414.2
ghsl_5929_cell_00035,ghsl_5929_cell_00034,1000.0
ghsl_5929_cell_00035,ghsl_5929_cell_00036,1000.0
ghsl_5929_cell_00035,ghsl_5929_cell_00042,1414.2
ghsl_5929_cell_00035,ghsl_5929_cell_00043,1000.0
ghsl_5929_cell_00035,ghsl_5929_cell_00044,1414.2
ghsl_5929_cell_00036,ghsl_5929_cell_00035,1000.0
ghsl_5929_cell_00036,ghsl_5929_cell_00043,1414.2
ghsl_5929_cell_00036,ghsl_5929_cell_00044,1000.0
ghsl_5929_cell_00037,ghsl_5929_cell_00030,1000.0
ghsl_5929_cell_00037,ghsl_5929_cell_00031,1414.2
ghsl_5929_cell_00037,ghsl_5929_cell_00038,1000.0
ghsl_5929_cell_00037,ghsl_5929_cell_00045,1000.0
ghsl_5929_cell_00037,ghsl_5929_cell_00046,1414.2
ghsl_5929_cell_00038,ghsl_5929_cell_00030,1414.2
ghsl_5929_cell_00038,ghsl_5929_cell_00031,1000.0
ghsl_5929_cell_00038,ghsl_5929_cell_00037,1000.0
ghsl_5929_cell_00038,ghsl_5929_cell_00045,1414.2
ghsl_5929_cell_00038,ghsl_5929_cell_00046,1000.0
ghsl_5929_cell_00038,ghsl_5929_cell_00047,1414.2
ghsl_5929_cell_00039,ghsl_5929_cell_00032,1414.2
ghsl_5929_cell_00039,ghsl_5929_cell_00040,1000.0
ghsl_5929_cell_00039,ghsl_5929_cell_00048,1414.2
ghsl_5929_cell_00039,ghsl_5929_cell_00049,1000.0
ghsl_5929_cell_00039,ghsl_5929_cell_00050,1414.2
ghsl_5929_cell_00040,ghsl_5929_cell_00032,1000.0
ghsl_5929_cell_00040,ghsl_5929_cell_00033,1414.2
ghsl_5929_cell_00040,ghsl_5929_cell_00039,1000.0
ghsl_5929_cell_00040,ghsl_5929_cell_00041,1000.0
ghsl_5929_cell_00040,ghsl_5929_cell_00049,1414.2
ghsl_5929_cell_00040,ghsl_5929_cell_00050,1000.0
ghsl_5929_cell_00040,ghsl_5929_cell_00051,1414.2
ghsl_5929_cell_00041,ghsl_5929_cell_00032,1414.2
ghsl_5929_cell_00041,ghsl_5929_cell_00033,1000.0
ghsl_5929_cell_00041,ghsl_5929_cell_00034,1414.2
ghsl_5929_cell_00041,ghsl_5929_cell_00040,1000.0
ghsl_5929_cell_00041,ghsl_5929_cell_00042,1000.0
ghsl_5929_cell_00041,ghsl_5929_cell_00050,1414.2
ghsl_5929_cell_00041,ghsl_5929_cell_00051,1000.0
ghsl_5929_cell_00041,ghsl_5929_cell_00052,1414.2
ghsl_5929_cell_00042,ghsl_5929_cell_00033,1414.2
ghsl_5929_cell_00042,ghsl_5929_cell_00034,1000.0
ghsl_5929_cell_00042,ghsl_5929_cell_00035,1414.2
ghsl_5929_cell_00042,ghsl_5929_cell_00041,1000.0
ghsl_5929_cell_00042,ghsl_5929_cell_00043,1000.0
ghsl_5929_cell_00042,ghsl_5929_cell_00051,1414.2
ghsl_5929_cell_00042,ghsl_5929_cell_00052,1000.0
ghsl_5929_cell_00042,ghsl_5929_cell_00053,1414.2
ghsl_5929_cell_00043,ghsl_5929_cell_00034,1414.2
ghsl_5929_cell_00043,ghsl_5929_cell_00035,1000.0
ghsl_5929_cell_00043,ghsl_5929_cell_00036,1414.2
ghsl_5929_cell_00043,ghsl_5929_cell_00042,1000.0
ghsl_5929_cell_00043,ghsl_5929_cell_00044,1000.0
ghsl_5929_cell_00043,ghsl_5929_cell_00052,1414.2
ghsl_5929_cell_00043,ghsl_5929_cell_00053,1000.0
ghsl_5929_cell_00043,ghsl_5929_cell_00054,1414.2
ghsl_5929_cell_00044,ghsl_5929_cell_00035,1414.2
ghsl_5929_cell_00044,ghsl_5929_cell_00036,1000.0
ghsl_5929_cell_00044,ghsl_5929_cell_00043,1000.0
ghsl_5929_cell_00044,ghsl_5929_cell_00053,1414.2
ghsl_5929_cell_00044,ghsl_5929_cell_00054,1000.0
ghsl_5929_cell_00045,ghsl_5929_cell_00037,1000.0
ghsl_5929_cell_00045,ghsl_5929_cell_00038,1414.2
ghsl_5929_cell_00045,ghsl_5929_cell_00046,1000.0
ghsl_5929_cell_00045,ghsl_5929_cell_00055,1000.0
ghsl_5929_cell_00045,ghsl_5929_cell_00056,1414.2
ghsl_5929_cell_00046,ghsl_5929_cell_00037,1414.2
ghsl_5929_cell_00046,ghsl_5929_cell_00038,1000.0
ghsl_5929_cell_00046,ghsl_5929_cell_00045,1000.0
ghsl_5929_cell_00046,ghsl_5929_cell_00047,1000.0
ghsl_5929_cell_00046,ghsl_5929_cell_00055,1414.2
ghsl_5929_cell_00046,ghsl_5929_cell_00056,1000.0
ghsl_5929_cell_00046,ghsl_5929_cell_00057,1414.2
ghsl_5929_cell_00047,ghsl_5929_cell_00038,1414.2
ghsl_5929_cell_00047,ghsl_5929_cell_00046,1000.0
ghsl_5929_cell_00047,ghsl_5929_cell_00056,1414.2
ghsl_5929_cell_00047,ghsl_5929_cell_00057,1000.0
ghsl_5929_cell_00047,ghsl_5929_cell_00058,1414.2
ghsl_5929_cell_00048,ghsl_5929_cell_00039,1414.2
ghsl_5929_cell_00048,ghsl_5929_cell_00049,1000.0
ghsl_5929_cell_00049,ghsl_5929_cell_00039,1000.0
ghsl_5929_cell_00049,ghsl_5929_cell_00040,1414.2
ghsl_5929_cell_00049,ghsl_5929_cell_00048,1000.0
ghsl_5929_cell_00049,ghsl_5929_cell_00050,1000.0
ghsl_5929_cell_00050,ghsl_5929_cell_00039,1414.2
ghsl_5929_cell_00050,ghsl_5929_cell_00040,1000.0
ghsl_5929_cell_00050,ghsl_5929_cell_00041,1414.2
ghsl_5929_cell_00050,ghsl_5929_cell_00049,1000.0
ghsl_5929_cell_00050,ghsl_5929_cell_00051,1000.0
ghsl_5929_cell_00050,ghsl_5929_cell_00059,1414.2
ghsl_5929_cell_00051,ghsl_5929_cell_00040,1414.2
ghsl_5929_cell_00051,ghsl_5929_cell_00041,1000.0
ghsl_5929_cell_00051,ghsl_5929_cell_00042,1414.2
ghsl_5929_cell_00051,ghsl_5929_cell_00050,1000.0
ghsl_5929_cell_00051,ghsl_5929_cell_00052,1000.0
ghsl_5929_cell_00051,ghsl_5929_cell_00059,1000.0
ghsl_5929_cell_00051,ghsl_5929_cell_00060,1414.2
ghsl_5929_cell_00052,ghsl_5929_cell_00041,1414.2
ghsl_5929_cell_00052,ghsl_5929_cell_00042,1000.0
ghsl_5929_cell_00052,ghsl_5929_cell_00043,1414.2
ghsl_5929_cell_00052,ghsl_5929_cell_00051,1000.0
ghsl_5929_cell_00052,ghsl_5929_cell_00053,1000.0
ghsl_5929_cell_00052,ghsl_5929_cell_00059,1414.2
ghsl_5929_cell_00052,ghsl_5929_cell_00060,1000.0
ghsl_5929_cell_00052,ghsl_5929_cell_00061,1414.2
ghsl_5929_cell_00053,ghsl_5929_cell_00042,1414.2
ghsl_5929_cell_00053,ghsl_5929_cell_00043,1000.0
ghsl_5929_cell_00053,ghsl_5929_cell_00044,1414.2
ghsl_5929_cell_00053,ghsl_5929_cell_00052,1000.0
ghsl_5929_cell_00053,ghsl_5929_cell_00054,1000.0
ghsl_5929_cell_00053,ghsl_5929_cell_00060,1414.2
ghsl_5929_cell_00053,ghsl_5929_cell_00061,1000.0
ghsl_5929_cell_00053,ghsl_5929_cell_00062,1414.2
ghsl_5929_cell_00054,ghsl_5929_cell_00043,1414.2
ghsl_5929_cell_00054,ghsl_5929_cell_00044,1000.0
ghsl_5929_cell_00054,ghsl_5929_cell_00053,1000.0
ghsl_5929_cell_00054,ghsl_5929_cell_00061,1414.2
ghsl_5929_cell_00054,ghsl_5929_cell_00062,1000.0
ghsl_5929_cell_00055,ghsl_5929_cell_00045,1000.0
ghsl_5929_cell_00055,ghsl_5929_cell_00046,1414.2
ghsl_5929_cell_00055,ghsl_5929_cell_00056,1000.0
ghsl_5929_cell_00055,ghsl_5929_cell_00063,1414.2
ghsl_5929_cell_00055,ghsl_5929_cell_00064,1000.0
ghsl_5929_cell_00055,ghsl_5929_cell_00065,1414.2
ghsl_5929_cell_00056,ghsl_5929_cell_00045,1414.2
ghsl_5929_cell_00056,ghsl_5929_cell_00046,1000.0
ghsl_5929_cell_00056,ghsl_5929_cell_00047,1414.2
ghsl_5929_cell_00056,ghsl_5929_cell_00055,1000.0
ghsl_5929_cell_00056,ghsl_5929_cell_00057,1000.0
ghsl_5929_cell_00056,ghsl_5929_cell_00064,1414.2
ghsl_5929_cell_00056,ghsl_5929_cell_00065,1000.0
ghsl_5929_cell_00056,ghsl_5929_cell_00066,1414.2
ghsl_5929_cell_00057,ghsl_5929_cell_00046,1414.2
ghsl_5929_cell_00057,ghsl_5929_cell_00047,1000.0
ghsl_5929_cell_00057,ghsl_5929_cell_00056,1000.0
ghsl_5929_cell_00057,ghsl_5929_cell_00058,1000.0
ghsl_5929_cell_00057,ghsl_5929_cell_00065,1414.2
ghsl_5929_cell_00057,ghsl_5929_cell_00066,1000.0
ghsl_5929_cell_00058,ghsl_5929_cell_00047,1414.2
ghsl_5929_cell_00058,ghsl_5929_cell_00057,1000.0
ghsl_5929_cell_00058,ghsl_5929_cell_00066,1414.2
ghsl_5929_cell_00059,ghsl_5929_cell_00050,1414.2
ghsl_5929_cell_00059,ghsl_5929_cell_00051,1000.0
ghsl_5929_cell_00059,ghsl_5929_cell_00052,1414.2
ghsl_5929_cell_00059,ghsl_5929_cell_00060,1000.0
ghsl_5929_cell_00059,ghsl_5929_cell_00067,1414.2
ghsl_5929_cell_00060,ghsl_5929_cell_00051,1414.2
ghsl_5929_cell_00060,ghsl_5929_cell_00052,1000.0
ghsl_5929_cell_00060,ghsl_5929_cell_00053,1414.2
ghsl_5929_cell_00060,ghsl_5929_cell_00059,1000.0
ghsl_5929_cell_00060,ghsl_5929_cell_00061,1000.0
ghsl_5929_cell_00060,ghsl_5929_cell_00067,1000.0
ghsl_5929_cell_00060,ghsl_5929_cell_00068,1414.2
ghsl_5929_cell_00061,ghsl_5929_cell_00052,1414.2
ghsl_5929_cell_00061,ghsl_5929_cell_00053,1000.0
ghsl_5929_cell_00061,ghsl_5929_cell_00054,1414.2
ghsl_5929_cell_00061,ghsl_5929_cell_00060,1000.0
ghsl_5929_cell_00061,ghsl_5929_cell_00062,1000.0
ghsl_5929_cell_00061,ghsl_5929_cell_00067,1414.2
ghsl_5929_cell_00061,ghsl_5929_cell_00068,1000.0
ghsl_5929_cell_00061,ghsl_5929_cell_00069,1414.2
ghsl_5929_cell_00062,ghsl_5929_cell_00053,1414.2
ghsl_5929_cell_00062,ghsl_5929_cell_00054,1000.0
ghsl_5929_cell_00062,ghsl_5929_cell_00061,1000.0
ghsl_5929_cell_00062,ghsl_5929_cell_00068,1414.2
ghsl_5929_cell_00062,ghsl_5929_cell_00069,1000.0
ghsl_5929_cell_00062,ghsl_5929_cell_00070,1414.2
ghsl_5929_cell_00063,ghsl_5929_cell_00055,1414.2
ghsl_5929_cell_00063,ghsl_5929_cell_00064,1000.0
ghsl_5929_cell_00063,ghsl_5929_cell_00071,1414.2
ghsl_5929_cell_00064,ghsl_5929_cell_00055,1000.0
ghsl_5929_cell_00064,ghsl_5929_cell_00056,1414.2
ghsl_5929_cell_00064,ghsl_5929_cell_00063,1000.0
ghsl_5929_cell_00064,ghsl_5929_cell_00065,1000.0
ghsl_5929_cell_00064,ghsl_5929_cell_00071,1000.0
ghsl_5929_cell_00064,ghsl_5929_cell_00072,1414.2
ghsl_5929_cell_00065,ghsl_5929_cell_00055,1414.2
ghsl_5929_cell_00065,ghsl_5929_cell_00056,1000.0
ghsl_5929_cell_00065,ghsl_5929_cell_00057,1414.2
ghsl_5929_cell_00065,ghsl_5929_cell_00064,1000.0
ghsl_5929_cell_00065,ghsl_5929_cell_00066,1000.0
ghsl_5929_cell_00065,ghsl_5929_cell_00071,1414.2
ghsl_5929_cell_00065,ghsl_5929_cell_00072,1000.0
ghsl_5929_cell_00065,ghsl_5929_cell_00073,1414.2
ghsl_5929_cell_00066,ghsl_5929_cell_00056,1414.2
ghsl_5929_cell_00066,ghsl_5929_cell_00057,1000.0
ghsl_5929_cell_00066,ghsl_5929_cell_00058,1414.2
ghsl_5929_cell_00066,ghsl_5929_cell_00065,1000.0
ghsl_5929_cell_00066,ghsl_5929_cell_00072,1414.2
ghsl_5929_cell_00066,ghsl_5929_cell_00073,1000.0
ghsl_5929_cell_00067,ghsl_5929_cell_00059,1414.2
ghsl_5929_cell_00067,ghsl_5929_cell_00060,1000.0
ghsl_5929_cell_00067,ghsl_5929_cell_00061,1414.2
ghsl_5929_cell_00067,ghsl_5929_cell_00068,1000.0
ghsl_5929_cell_00068,ghsl_5929_cell_00060,1414.2
ghsl_5929_cell_00068,ghsl_5929_cell_00061,1000.0
ghsl_5929_cell_00068,ghsl_5929_cell_00062,1414.2
ghsl_5929_cell_00068,ghsl_5929_cell_00067,1000.0
ghsl_5929_cell_00068,ghsl_5929_cell_00069,1000.0
ghsl_5929_cell_00068,ghsl_5929_cell_00074,1414.2
ghsl_5929_cell_00069,ghsl_5929_cell_00061,1414.2
ghsl_5929_cell_00069,ghsl_5929_cell_00062,1000.0
ghsl_5929_cell_00069,ghsl_5929_cell_00068,1000.0
ghsl_5929_cell_00069,ghsl_5929_cell_00070,1000.0
ghsl_5929_cell_00069,ghsl_5929_cell_00074,1000.0
ghsl_5929_cell_00069,ghsl_5929_cell_00075,1414.2
ghsl_5929_cell_00070,ghsl_5929_cell_00062,1414.2
ghsl_5929_cell_00070,ghsl_5929_cell_00069,1000.0
ghsl_5929_cell_00070,ghsl_5929_cell_00074,1414.2
ghsl_5929_cell_00070,ghsl_5929_cell_00075,1000.0
ghsl_5929_cell_00070,ghsl_5929_cell_00076,1414.2
ghsl_5929_cell_00071,ghsl_5929_cell_00063,1414.2
ghsl_5929_cell_00071,ghsl_5929_cell_00064,1000.0
ghsl_5929_cell_00071,ghsl_5929_cell_00065,1414.2
ghsl_5929_cell_00071,ghsl_5929_cell_00072,1000.0
ghsl_5929_cell_00071,ghsl_5929_cell_00077,1414.2
ghsl_5929_cell_00072,ghsl_5929_cell_00064,1414.2
ghsl_5929_cell_00072,ghsl_5929_cell_00065,1000.0
ghsl_5929_cell_00072,ghsl_5929_cell_00066,1414.2
ghsl_5929_cell_00072,ghsl_5929_cell_00071,1000.0
ghsl_5929_cell_00072,ghsl_5929_cell_00073,1000.0
ghsl_5929_cell_00072,ghsl_5929_cell_00077,1000.0
ghsl_5929_cell_00072,ghsl_5929_cell_00078,1414.2
ghsl_5929_cell_00073,ghsl_5929_cell_00065,1414.2
ghsl_5929_cell_00073,ghsl_5929_cell_00066,1000.0
ghsl_5929_cell_00073,ghsl_5929_cell_00072,1000.0
